City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hithadhoo,-0.6,73.0833,81.36,76,0,12.19,,1612663284
albany,42.6001,-73.9662,25,48,0,2.01,,1612663015
taolanaro,,,,,,,,
rikitea,-23.1203,-134.9692,78.78,69,73,10.56,,1612663245
punta arenas,-53.15,-70.9167,51.8,66,0,17.27,,1612663263
tabiauea,,,,,,,,
sampit,-2.5333,112.95,83.46,78,100,3.02,,1612663699
port alfred,-33.5906,26.891,66.99,87,33,4,,1612663277
mendahara,,,,,,,,
ushuaia,-54.8,-68.3,50,76,75,12.66,,1612663339
mataura,-46.1927,168.8643,81.86,44,5,1.34,,1612663286
grindavik,63.8424,-22.4338,32,64,0,17.27,,1612663460
ilulissat,69.2167,-51.1,26.6,43,0,27.63,,1612663423
ribeira grande,38.5167,-28.7,61.18,89,94,21.59,,1612663247
coahuayana,18.7333,-103.6833,73.4,78,1,0.27,,1612663701
karpathos,35.507,27.2132,59,94,30,9.69,,1612663701
nyurba,63.2842,118.3319,-26.27,85,86,2.93,,1612663701
kapaa,22.0752,-159.319,73.4,53,75,6.91,,1612663389
hilo,19.7297,-155.09,77,57,75,6.91,,1612663387
riyadh,24.6877,46.7219,55.4,76,0,3.44,,1612663403
dikson,73.5069,80.5464,-27.47,87,90,9.57,,1612663302
mogadishu,2.0371,45.3438,75.42,84,0,16.22,,1612663300
avarua,-21.2078,-159.775,86,66,17,11.5,,1612663383
nizhneyansk,,,,,,,,
mackenzie,55.2999,-123.1698,-2.2,65,1,3.44,,1612663703
new norfolk,-42.7826,147.0587,66,47,39,3,,1612663244
bluff,-46.6,168.3333,61.45,71,0,7.96,,1612663269
amahai,-3.3333,128.9167,87.69,61,82,1.14,,1612663703
xuddur,4.1213,43.8894,65.23,89,29,15.17,,1612663703
atuona,-9.8,-139.0333,79.99,80,73,18.21,,1612663418
oktyabrskiy,54.4815,53.471,-2.04,89,100,14.83,,1612663704
lompoc,34.6391,-120.4579,55.4,87,1,6.91,,1612663447
marystown,47.1666,-55.1483,37.94,79,100,18.79,,1612663564
chililabombwe,-12.3648,27.8229,63.9,98,100,3.24,,1612663705
preobrazheniye,42.9019,133.9064,18.28,77,0,7.92,,1612663705
barrow,71.2906,-156.7887,-4,77,90,14.97,,1612663382
chokurdakh,70.6333,147.9167,-21.44,86,95,4.14,,1612663296
porto novo,6.4965,2.6036,84.2,84,40,12.66,,1612663705
puerto ayora,-0.7393,-90.3518,77,94,66,6.76,,1612663250
benghazi,32.1167,20.0667,62.96,51,51,16.17,,1612663706
sentyabrskiy,,,,,,,,
east london,-33.0153,27.9116,72.7,87,75,17.58,,1612663050
tomigusuku,26.185,127.675,71.6,68,20,9.22,,1612663706
itacoatiara,-3.1431,-58.4442,76.01,95,100,2.04,,1612663707
padang,-0.9492,100.3543,82.4,69,20,2.3,,1612663707
thano bula khan,,,,,,,,
taizhou,32.4933,119.9106,56.79,49,0,2.66,,1612663707
linguere,15.3953,-15.1193,65.62,28,56,12.68,,1612663708
george,-33.963,22.4617,66.2,88,20,6.91,,1612663708
amderma,,,,,,,,
fukue,32.6881,128.8419,56.57,64,0,14.27,,1612663449
tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,19.57,,1612663289
cherskiy,68.75,161.3,-2.88,81,0,3.31,,1612663432
gangotri,,,,,,,,
kudahuvadhoo,2.6708,72.8944,80.8,78,12,14.14,,1612663388
