City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rikitea,-23.1203,-134.9692,77.38,72,96,12.06,PF,1612720888
mataura,-46.1927,168.8643,50.13,89,98,1.7,NZ,1612720898
mayumba,-3.432,10.6554,79.63,85,87,7.78,GA,1612721269
saldanha,-33.0117,17.9442,69.8,56,0,24.16,ZA,1612720968
kaitangata,-46.2817,169.8464,59,94,70,3,NZ,1612721270
albany,42.6001,-73.9662,28.99,75,100,4.45,US,1612720874
busselton,-33.65,115.3333,63,99,100,9.13,AU,1612720895
belushya guba,,,,,,,,
komsomolskiy,40.4272,71.7189,44.82,84,100,2.73,UZ,1612721172
la ronge,55.1001,-105.2842,-36.4,61,17,9.22,CA,1612720936
tabiauea,,,,,,,,
chapada dos guimaraes,-15.4606,-55.7497,87.8,45,75,5.75,BR,1612721271
lompoc,34.6391,-120.4579,60.01,87,1,6.91,US,1612720590
mopti,14.6667,-4,83.98,15,90,13.94,ML,1612721272
angoche,-16.2325,39.9086,81.03,82,29,7.02,MZ,1612721272
atasu,48.6814,71.6433,19.54,96,99,12.33,KZ,1612721272
puerto ayora,-0.7393,-90.3518,84.2,70,0,17.27,EC,1612720892
pagudpud,18.5616,120.7868,75.2,88,75,1.14,PH,1612721273
ancud,-41.8697,-73.8203,80.6,34,0,6.91,CL,1612721273
castro,-24.7911,-50.0119,75.94,45,0,4.23,BR,1612720851
port hardy,50.6996,-127.4199,37.4,93,75,10.36,CA,1612720942
acapulco,16.8634,-99.8901,86,54,40,4.97,MX,1612721209
new norfolk,-42.7826,147.0587,53.6,62,40,5.75,AU,1612720922
alofi,-19.0595,-169.9187,77,94,80,3.44,NU,1612721274
kaseda,31.4167,130.3167,46.4,66,20,5.75,JP,1612721274
mindelo,16.8901,-24.9804,71.6,56,75,24.16,CV,1612721274
cape town,-33.9258,18.4232,70,60,0,24.16,ZA,1612720886
atar,20.5169,-13.0499,73.15,21,0,15.12,MR,1612720753
avera,33.194,-82.5271,46.4,81,90,10.36,US,1612720699
cabo san lucas,22.8909,-109.9124,75.99,52,40,4.05,MX,1612720656
tubruq,,,,,,,,
arraial do cabo,-22.9661,-42.0278,77,78,75,5.75,BR,1612720899
birjand,32.8663,59.2211,46.4,21,0,4.61,IR,1612721276
